#WL |a|^2+|d|^2_ln00 |b|^2+|c|^2_ln00 |a|^2+|d|^2_ln01 |b|^2+|c|^2_ln01 |a|^2+|d|^2_ln02 |b|^2+|c|^2_ln02 |a|^2+|d|^2_ln10 |b|^2+|c|^2_ln10 |a|^2+|d|^2_ln11 |b|^2+|c|^2_ln11 |a|^2+|d|^2_ln12 |b|^2+|c|^2_ln12 |a|^2+|d|^2_ln20 |b|^2+|c|^2_ln20 |a|^2+|d|^2_ln21 |b|^2+|c|^2_ln21 |a|^2+|d|^2_ln22 |b|^2+|c|^2_ln22 |a|^2+|d|^2_ln30 |b|^2+|c|^2_ln30 |a|^2+|d|^2_ln31 |b|^2+|c|^2_ln31 |a|^2+|d|^2_ln32 |b|^2+|c|^2_ln32 
# |a|+|d|400.000000 0.317299 0.388654 0.027069 0.242066 0.003778 0.009534 1.387456 2.920166 1.554898 15.272500 2.124936 4.960141 1.323252 0.626370 0.102308 0.319801 0.012231 0.011560 1.468645 1.151240 1.008374 1.001136 1.000014 1.000006
431.500000 2.379869 1.629119 1.676520 0.107998 0.003849 0.149946 1.906346 6.979244 11.499333 2.147892 0.151452 13.664527 1.259814 2.307411 1.003568 0.131695 0.002165 0.172227 1.265129 1.017439 1.002887 1.001208 1.000007 1.000069
432.000000 2.476274 1.575592 1.840200 0.108534 0.003835 0.159420 1.937046 6.704468 12.278877 2.128881 0.145918 14.227762 1.272856 2.228369 1.074568 0.132237 0.002107 0.183004 1.261275 1.016739 1.003137 1.001222 1.000007 1.000072
432.500000 2.576362 1.523102 2.015807 0.109101 0.003823 0.168333 1.968250 6.437747 13.086828 2.110777 0.140658 14.714867 1.286020 2.151030 1.148406 0.132817 0.002052 0.193126 1.257404 1.016244 1.003436 1.001237 1.000006 1.000075
433.000000 2.679316 1.471442 2.198693 0.109686 0.003811 0.175974 1.999440 6.178136 13.891193 2.093353 0.135655 15.069788 1.298980 2.075095 1.222282 0.133418 0.001999 0.201779 1.253521 1.015950 1.003784 1.001251 1.000006 1.000078
433.500000 2.784298 1.420628 2.382586 0.110277 0.003800 0.181651 2.030182 5.925691 14.653974 2.076482 0.130899 15.243215 1.311477 2.000581 1.292825 0.134028 0.001949 0.208173 1.249636 1.015843 1.004180 1.001266 1.000006 1.000079
434.000000 2.890875 1.371015 2.561168 0.110871 0.003789 0.184923 2.060280 5.681769 15.340459 2.060103 0.126379 15.210077 1.323410 1.927985 1.356927 0.134641 0.001900 0.211808 1.245759 1.015896 1.004617 1.001280 1.000006 1.000079
434.500000 2.999672 1.323209 2.731578 0.111474 0.003779 0.185859 2.090065 5.448610 15.938205 2.044313 0.122084 14.987436 1.335004 1.858152 1.413431 0.135267 0.001853 0.212766 1.241898 1.016070 1.005085 1.001294 1.000006 1.000079
435.000000 3.111945 1.277878 2.894108 0.112104 0.003770 0.184878 2.120143 5.228612 16.453106 2.029271 0.118007 14.618695 1.346648 1.792017 1.462812 0.135925 0.001809 0.211533 1.238063 1.016327 1.005577 1.001307 1.000006 1.000077
435.500000 3.229304 1.235576 3.052247 0.112777 0.003763 0.182600 2.151316 5.023717 16.908633 2.015259 0.114143 14.160033 1.358847 1.730341 1.507099 0.136638 0.001766 0.208818 1.234258 1.016628 1.006086 1.001321 1.000006 1.000075
436.000000 3.353662 1.196539 3.210811 0.113514 0.003759 0.179574 2.184389 4.834484 17.332129 2.002479 0.110480 13.657696 1.372078 1.673436 1.548704 0.137427 0.001726 0.205253 1.230480 1.016948 1.006613 1.001335 1.000006 1.000073
436.500000 3.487145 1.160896 3.376246 0.114334 0.003757 0.176289 2.220218 4.661069 17.756839 1.991149 0.107009 13.150239 1.386839 1.621465 1.590584 0.138316 0.001687 0.201396 1.226724 1.017266 1.007160 1.001349 1.000006 1.000070
437.000000 3.632786 1.128790 3.558901 0.115260 0.003760 0.173236 2.259932 4.503617 18.231058 1.981503 0.103721 12.673156 1.403775 1.574611 1.637095 0.139333 0.001651 0.197808 1.222984 1.017565 1.007739 1.001364 1.000005 1.000068
437.500000 3.790706 1.099504 3.754435 0.116286 0.003766 0.170122 2.303323 4.359083 18.728741 1.973409 0.100599 12.204726 1.422706 1.531844 1.685907 0.140469 0.001617 0.194155 1.219250 1.017858 1.008346 1.001379 1.000005 1.000066
438.000000 3.960169 1.072170 3.950730 0.117393 0.003774 0.166472 2.349714 4.223855 19.188508 1.966538 0.097622 11.711761 1.443167 1.491926 1.731494 0.141703 0.001583 0.189895 1.215510 1.018167 1.008966 1.001395 1.000005 1.000064
438.500000 4.140552 1.046158 4.134183 0.118567 0.003784 0.161980 2.398523 4.095329 19.548185 1.960627 0.094771 11.175230 1.464758 1.453958 1.768205 0.143018 0.001552 0.184681 1.211757 1.018508 1.009579 1.001411 1.000005 1.000061
439.000000 4.330956 1.020943 4.287913 0.119792 0.003795 0.156430 2.449007 3.971326 19.736694 1.955346 0.092030 10.583276 1.486993 1.417194 1.789542 0.144392 0.001521 0.178266 1.207984 1.018892 1.010151 1.001427 1.000005 1.000058
439.500000 4.529414 0.996084 4.392677 0.121048 0.003807 0.149716 2.500167 3.850157 19.682561 1.950424 0.089388 9.933208 1.509261 1.381010 1.788888 0.145802 0.001491 0.170531 1.204189 1.019328 1.010642 1.001444 1.000005 1.000054
440.000000 4.734491 0.971371 4.435958 0.122321 0.003819 0.141980 2.551247 3.730986 19.350736 1.945651 0.086836 9.238383 1.531107 1.345106 1.762893 0.147231 0.001462 0.161641 1.200373 1.019818 1.011019 1.001460 1.000005 1.000051
440.500000 4.946051 0.946948 4.419284 0.123611 0.003832 0.133641 2.602114 3.614343 18.769735 1.941016 0.084371 8.528730 1.552469 1.309684 1.713985 0.148678 0.001434 0.152075 1.196544 1.020351 1.011270 1.001477 1.000005 1.000047
441.000000 5.165455 0.923161 4.355603 0.124925 0.003846 0.125197 2.653222 3.501476 18.012258 1.936629 0.081997 7.836721 1.573626 1.275229 1.648666 0.150155 0.001406 0.142399 1.192716 1.020911 1.011406 1.001494 1.000005 1.000043
441.500000 5.394286 0.900448 4.262505 0.126276 0.003860 0.117081 2.705252 3.394037 17.164678 1.932722 0.079723 7.188979 1.595017 1.242356 1.574733 0.151674 0.001380 0.133106 1.188909 1.021478 1.011450 1.001511 1.000005 1.000040
442.000000 5.634923 0.879058 4.154811 0.127677 0.003877 0.109527 2.759039 3.292875 16.292911 1.929501 0.077549 6.597690 1.617127 1.211413 1.498186 0.153253 0.001355 0.124461 1.185130 1.022040 1.011428 1.001528 1.000005 1.000037
